,industry_code_ANZSIC,industry_name_ANZSIC,variable,value,unit
537,6,17,2,4993,1
538,6,17,6,510,1
539,6,17,1,1745,1
540,6,17,0,1246,0
541,6,17,3,2150,0
542,6,17,4,4510,1
543,6,17,5,4438,1
544,6,17,8,4460,1
545,6,17,7,4396,1
546,6,17,2,905,1
547,6,17,6,1545,1
548,6,17,1,3367,1
549,6,17,0,601,0
550,6,17,3,5149,0
551,6,17,4,2207,1
552,6,17,5,1897,1
553,6,17,8,1928,1
554,6,17,7,1812,1
555,6,17,2,5367,1
556,6,17,6,5517,1
557,6,17,1,2251,1
558,6,17,0,2492,0
559,6,17,3,1672,0
560,6,17,4,4363,1
561,6,17,5,4132,1
562,6,17,8,4154,1
563,6,17,7,4077,1
564,6,17,2,1282,1
565,6,17,6,1944,1
566,6,17,1,3863,1
567,7,0,0,4094,0
568,7,0,3,19,0
569,7,0,4,710,1
570,7,0,5,5110,1
571,7,0,8,5166,1
572,7,0,7,5040,1
573,7,0,2,3322,1
574,7,0,6,2235,1
575,7,0,1,1195,1
576,7,0,0,4943,0
577,7,0,3,1421,0
578,7,0,4,2983,1
579,7,0,5,1365,1
580,7,0,8,1386,1
581,7,0,7,1271,1
582,7,0,2,4993,1
583,7,0,6,1648,1
584,7,0,1,231,1
585,7,0,0,1882,0
586,7,0,3,1007,0
587,7,0,4,2811,1
588,7,0,5,199,1
589,7,0,8,222,1
590,7,0,7,114,1
591,7,0,2,3636,1
592,7,0,6,5086,1
593,7,0,1,3473,1
594,7,0,0,1843,0
595,7,0,3,2567,0
596,7,0,4,4200,1
597,7,0,5,1335,1
598,7,0,8,1360,1
599,7,0,7,1422,1
600,7,0,2,10,1
601,7,0,6,781,1
602,7,0,1,5387,1
603,7,0,0,5408,0
604,7,0,3,2272,0
605,7,0,4,3900,1
606,7,0,5,1135,1
607,7,0,8,1195,1
608,7,0,7,1119,1
609,7,0,2,4221,1
610,7,0,6,1055,1
611,7,0,1,5617,1
612,7,0,0,730,0
613,7,0,3,5494,0
614,7,0,4,1934,1
615,7,0,5,4657,1
616,7,0,8,4709,1
617,7,0,7,4624,1
618,7,0,2,2666,1
619,7,0,6,5682,1
620,7,0,1,4499,1
621,7,0,0,4528,0
622,7,0,3,5394,0
623,7,0,4,1820,1
624,7,0,5,4783,1
625,7,0,8,4835,1
626,7,0,7,4709,1
627,7,0,2,3541,1
628,7,0,6,202,1
629,7,0,1,4950,1
630,7,0,0,2288,0
631,7,0,3,1456,0
632,7,0,4,3427,1
633,7,0,5,859,1
634,7,0,8,875,1
635,7,0,7,695,1
636,7,0,2,339,1
637,7,0,6,361,1
638,7,0,1,4843,1
639,7,0,0,1520,0
640,7,0,3,443,0
641,7,0,4,2503,1
642,7,0,5,5639,1
643,7,0,8,5674,1
644,7,0,7,5586,1
645,7,0,2,3251,1
646,7,0,6,278,1
647,7,0,1,4782,1
648,8,18,0,5531,0
649,8,18,3,19,0
650,8,18,4,624,1
651,8,18,5,220,1
652,8,18,8,424,1
653,8,18,7,5611,1
654,8,18,2,1389,1
655,8,18,6,1678,1
656,8,18,1,61,1
657,8,18,0,3351,0
658,8,18,3,4995,0
659,8,18,4,3066,1
660,8,18,5,934,1
661,8,18,8,974,1
662,8,18,7,709,1
663,8,18,2,1020,1
664,8,18,6,1065,1
665,8,18,1,5097,1
666,8,18,0,4184,0
667,8,18,3,3508,0
668,8,18,4,1404,1
669,8,18,5,4408,1
670,8,18,8,4451,1
671,8,18,7,4399,1
